Box #,Assay#,Depth,K (%),U (ppm),Th (ppm),DR,Total GR,Assay#,K (%),U (ppm),Th (ppm),DR,Total GR,Assay#,K (%),U (ppm),Th (ppm),DR,Total GR,Assay#,K (%),U (ppm),Th (ppm),DR,Total GR,Average GR,Std,CPS,Comments
,9295,201.7,0.6,0.9,0.6,17.6,19.2,9296,0.6,1.2,0.8,19.5,22.4,9297,0.6,1.3,0.8,21,23.2,9298,0.6,1.3,0.9,20.4,23.6,22.1,1.997,,
,9300,202,0.5,1,0.8,16.4,19.2,9301,0.4,1.1,0.3,15,16.4,9302,0.5,0.9,0.5,15.8,17.2,9303,0.5,0.6,0.5,13.1,14.8,16.9,1.829,,
,9304,202.3,0.5,0.9,0.7,16,18,9305,0.4,1,0.8,16.1,17.6,9306,0.5,1,0.4,16.4,17.6,9307,0.5,1,0.7,16.7,18.8,18,0.566,,
,9308,202.6,0.5,0.9,0.7,16.3,18,9309,0.6,0.9,0.5,16.4,18.8,9310,0.5,1.1,0.6,17.6,19.2,9311,0.5,1.2,1.2,20.3,22.4,19.6,1.932,,
,9312,202.9,0.5,0.9,0.9,16.9,18.8,9313,0.4,0.4,1.4,14.2,15.2,9314,0.4,1,0.9,15.4,18,9315,0.4,0.9,0.7,14.6,16.4,17.1,1.612,,
,9316,203.2,0.4,0.9,0.8,15.4,16.8,9317,0.5,0.9,1.1,17.4,19.6,9318,0.6,0.2,1.4,15,16.8,9319,0.5,0.7,0.7,14.6,16.4,17.4,1.479,,
,9320,203.5,0.5,0.9,0.7,15.4,18,9321,0.5,1,1,17.1,20,9322,0.5,1,0.5,15.6,18,9323,0.4,0.8,0.9,14.9,16.4,18.1,1.474,,
,9324,203.8,0.6,1,1.1,18.8,22,9325,0.5,0.7,0.9,15,17.2,9326,0.5,0.9,0.5,15.1,17.2,9327,0.6,0.5,0.6,14.3,16,18.1,2.661,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9328,204.1,0.6,0.7,1.3,17.9,20.4,9329,0.6,0.9,0.9,18.8,20.4,9330,0.6,0.8,0.9,17.1,19.6,9331,0.5,1,1.5,19.7,22,20.6,1.007,,
,9332,204.4,0.4,1.5,1.2,19.3,23.2,9333,0.5,0.9,0.6,16.2,17.6,9334,0.5,1,0.8,16.9,19.2,9335,0.4,1.5,0.2,17.2,19.2,19.8,2.389,,
,9336,204.7,0.6,1,1.1,19.2,22,9337,0.5,1.6,0.4,20.1,22.4,9338,0.6,1.4,1,21.4,24.8,9339,0.5,1.1,0.4,17.3,18.4,21.9,2.641,,
,9340,205,0.4,1,0.9,16.4,18,9341,0.4,1.6,0.5,17.7,21.2,9342,0.6,0.6,0.8,15.6,17.6,9343,0.6,0.7,0.7,15.9,18,18.7,1.677,,
,9344,205.3,0.5,1.4,0.6,19.7,21.6,9345,0.5,1.2,0.8,18,20.8,9346,0.4,0.9,1,16.1,17.6,9347,0.5,0.8,0.5,15,16.4,19.1,2.495,,
,9348,205.6,0.5,1,1.2,18.9,20.8,9349,0.5,1,0.3,15,17.2,9350,0.5,1.4,0.4,18.8,20.8,9351,0.5,0.6,1.5,17.1,18.8,19.4,1.744,,
,9352,205.9,0.4,1,1,16.8,18.4,9353,0.5,1,0.7,16.8,18.8,9354,0.4,0.9,0.7,15.4,16.4,9355,0.5,1,1.3,19,21.2,18.7,1.97,,
,9356,206.2,0.6,1.1,1.3,20,23.6,9357,0.6,1,0.8,16.2,20.8,9358,0.6,1,0.7,17.6,20.4,9359,0.7,1,1,20.6,23.2,22,1.633,,
,9360,206.5,0.5,1,0.8,17.4,19.2,9361,0.5,0.7,1.2,16.5,18.4,9362,0.5,0.6,1.1,15,17.2,9363,0.5,0.9,0.6,15.4,17.6,18.1,0.887,,
,9364,206.8,0.5,1,1.3,19.2,21.2,9365,0.6,0.9,0.2,15.8,17.6,9366,0.5,1.3,0.8,19.2,21.6,9367,0.5,1.3,0.9,19.9,22,20.6,2.026,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9368,207.1,0.5,0.6,1.2,16.3,17.6,9369,0.6,0.8,0.7,16.5,18.8,9370,0.5,1,0.8,17.4,19.2,9371,0.6,0.8,1,18.2,20,18.9,1,,
,9372,207.4,0.5,0.9,0.7,16,18,9373,0.5,1.2,0.8,18.4,20.8,9374,0.5,1.1,0.7,16.9,19.6,9375,0.5,0.8,0.6,15.2,16.8,18.8,1.759,,
,9376,207.7,0.6,0.9,0.7,18.1,19.6,9377,0.5,1.1,0.8,18.3,20,9378,0.6,0.9,1.3,19.5,22,9379,0.6,0.9,0.5,17.1,18.8,20.1,1.361,,
